Feature,Importance
OverallQual,0.20018864996950472
GrLivArea,0.15139792467635588
GarageArea,0.08614528091362096
YearBuilt,0.08467247830786379
TotalBsmtSF,0.07779486765438615
1stFlrSF,0.06776397909720816
BsmtFinSF1,0.050251473169616784
2ndFlrSF,0.0475772676289707
GarageYrBlt,0.04321396105875481
KitchenQual,0.04225658191957498
LotArea,0.03202358555836196
YearRemodAdd,0.0276302430412423
OpenPorchSF,0.017254485013469923
LotFrontage,0.014567404797349385
GarageFinish,0.012051745462886765
MasVnrArea,0.01152354000333272
BsmtUnfSF,0.011015472056924415
BedroomAbvGr,0.007409752609836899
OverallCond,0.006705647367791375
BsmtExposure,0.005132126265044355
BsmtFinType1,0.0034235334279030904
